the_geom,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.96980028891763 40.76291351212787, -73.9702581472511 40.76228875261046, -73.9707506390483 40.761608701750454, -73.97124277307132 40.7609364184791, -73.97133777276221 40.760977298189616, -73.9728525050328 40.76161435725251, -73.97445730616329 40.762293083525066, -73.9739679889575 40.76296658771357, -73.97346523459842 40.76365910435897, -73.97301487242227 40.76427887944538, -73.97141141689816 40.763587474199866, -73.96990489279004 40.76295804272889, -73.96980028891763 40.76291351212787)))",112.02,1,Manhattan,11202,1011202,I,MN17,Midtown-Midtown South,3807,3688.762328,839525.7815
"MULTIPOLYGON (((-73.96658338422266 40.76155093557658, -73.96657146961965 40.76148188048352, -73.9669947192519 40.760905383425566, -73.9674621521873 40.760222906318994, -73.96792193514139 40.759593086881495, -73.96802436915858 40.759578140052845, -73.96962500126698 40.76025144003973, -73.97113517599536 40.76089085251674, -73.97124277307132 40.7609364184791, -73.9707506390483 40.761608701750454, -73.9702581472511 40.76228875261046, -73.96980028891763 40.76291351212787, -73.96968801164803 40.76286596294328, -73.96818687803618 40.762226821325946, -73.96658338422266 40.76155093557658)))",112.03,1,Manhattan,11203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.5154
"MULTIPOLYGON (((-73.98411754823202 40.75484205346463, -73.98459584284869 40.754176942373924, -73.98504363809312 40.75355414871728, -73.98548819085718 40.752935179653655, -73.98594653087765 40.75231680555554, -73.98731032054913 40.75289242302922, -73.98878655043404 40.753516779347486, -73.99163271310653 40.75470680450704, -73.99117738092279 40.755329849083864, -73.99072636339719 40.75595040556484, -73.99027621412581 40.7565675655522, -73.98979085335519 40.757233131918824, -73.98841835499533 40.75665498686525, -73.98694873852385 40.75603590226133, -73.9864043670903 40.75580802928722, -73.98411754823202 40.75484205346463)))",113,1,Manhattan,11300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.331
"MULTIPOLYGON (((-73.96475544914031 40.7640570705997, -73.96521327987921 40.76343135906086, -73.96566959883934 40.76280455611173, -73.96612747295735 40.76217929969564, -73.96658338422266 40.76155093557658, -73.96818687803618 40.762226821325946, -73.96968801164803 40.76286596294328, -73.96980028891763 40.76291351212787, -73.96933798805826 40.76354738048296, -73.96888862117946 40.7641609454587, -73.968431363808 40.76478792276648, -73.96797437063213 40.76541300707903, -73.9678602918418 40.765364095824374, -73.96635926978796 40.76473180190793, -73.96475544914031 40.7640570705997)))",114.02,1,Manhattan,11402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.405
"MULTIPOLYGON (((-73.96147581181634 40.774324011391286, -73.9619392457374 40.77368952660208, -73.9624024459511 40.773054059120405, -73.96286485480124 40.772419426756535, -73.9633266751059 40.771786340898394, -73.96382461556946 40.77110398045725, -73.96431940640119 40.77042295736224, -73.96478171550243 40.769795764052695, -73.96488147210891 40.76983809974899, -73.96638770810092 40.77047735753087, -73.96799327777019 40.77114723095269, -73.96753398444379 40.77177618398403, -73.96703947579957 40.77246121881645, -73.96653617013212 40.77314036859025, -73.96607449041011 40.77377298910018, -73.9656096862153 40.774407201445456, -73.96514745374786 40.77504423208978, -73.96468735841758 40.7756770817154, -73.9630876025431 40.7750028422446, -73.96158453862112 40.77436878420817, -73.96147581181634 40.774324011391286)))",130,1,Manhattan,13000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54
"MULTIPOLYGON (((-73.95494520074173 40.77750394666426, -73.95540729761582 40.77686848039941, -73.95586933682178 40.776236225842766, -73.95633492325497 40.77560078338056, -73.95679749082426 40.774966310668205, -73.95729410043819 40.77428355507533, -73.95779380470232 40.773599897456805, -73.95825534937208 40.77296533708621, -73.9598568179821 40.77364276816361, -73.96136792679201 40.774278760635816, -73.96147581181634 40.774324011391286, -73.96100848539004 40.774955322353996, -73.96051055687671 40.7756406966006, -73.96001137769015 40.77632010663262, -73.95954772790614 40.77695715855386, -73.95909001718738 40.77759247275085, -73.95862715684643 40.778226539849136, -73.95816437040035 40.77886120010734, -73.9580565044232 40.778815046009825, -73.95654650812438 40.77818010108208, -73.95494520074173 40.77750394666426)))",140,1,Manhattan,14000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223
"MULTIPOLYGON (((-73.9493736666463 40.776875748891364, -73.94987249680449 40.77619615093774, -73.95033856519122 40.775563208745844, -73.95270421536992 40.77656141218595, -73.95494520074173 40.77750394666426, -73.95448224115003 40.77813866451914, -73.95398370221405 40.7788221101183, -73.9517423824698 40.777874305247465, -73.9493736666463 40.776875748891364)))",146.01,1,Manhattan,14601,1014601,I,MN32,Yorkville,3805,4016.133393,799879.9085
"MULTIPOLYGON (((-73.94796768189843 40.778806465984275, -73.94842272584461 40.77818264101868, -73.94888042016805 40.77755328519394, -73.9493736666463 40.776875748891364, -73.9517423824698 40.777874305247465, -73.95398370221405 40.7788221101183, -73.95349212383262 40.7794966221737, -73.95303367951716 40.78012545503871, -73.95257421938273 40.78075303402301, -73.95033629840196 40.779809968424985, -73.94796768189843 40.778806465984275)))",146.02,1,Manhattan,14602,1014602,I,MN32,Yorkville,3805,4528.695483,1175338.612
"MULTIPOLYGON (((-73.95398370221405 40.7788221101183, -73.95448224115003 40.77813866451914, -73.95494520074173 40.77750394666426, -73.95654650812438 40.77818010108208, -73.9580565044232 40.778815046009825, -73.95816437040035 40.77886120010734, -73.9576998712491 40.77949289513363, -73.95719892537161 40.780177505848926, -73.95709761918762 40.78013417157928, -73.95558440508799 40.77949679927601, -73.95398370221405 40.7788221101183)))",148.01,1,Manhattan,14801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.1578
"MULTIPOLYGON (((-73.95165920749092 40.782007674165406, -73.95212203271694 40.78138671022084, -73.95257421938273 40.78075303402301, -73.95303367951716 40.78012545503871, -73.95349212383262 40.7794966221737, -73.95398370221405 40.7788221101183, -73.95558440508799 40.77949679927601, -73.95709761918762 40.78013417157928, -73.95719892537161 40.780177505848926, -73.95670856474175 40.78085538226876, -73.95624662542991 40.78147940944023, -73.95579013484046 40.78210901907304, -73.9553361371796 40.78273652033798, -73.95487698963592 40.78336293804044, -73.9547681220591 40.78331931114356, -73.95325927645679 40.7826823506101, -73.95165920749092 40.782007674165406)))",148.02,1,Manhattan,14802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99
